trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.2, 'e': 0.2904884943099637}",20,0,5.699242739836857,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.2, 'e': 0.28758360936686406}",35,11,-40.97540994116795,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
125,False,"{'a': 0.2, 'e': 0.2847077732731954}",20,11,16.70625079245543,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.28186069554046345}",20,15,8.435327424000029,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.2790420885850588}",20,15,11.021238044706635,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.2762516676992082}",20,0,-30.918465707850956,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
129,False,"{'a': 0.2, 'e': 0.27348915102221616}",20,0,-16.712438855008994,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
130,False,"{'a': 0.2, 'e': 0.270754259511994}",25,17,0.9786664828804126,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.26804671691687404}",30,0,-31.394562785231596,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
132,False,"{'a': 0.2, 'e': 0.2653662497477053}",30,0,-86.48816897147196,"{0: 25, 1: 0, 2: 2, 3: 1, 4: 2}",0
133,False,"{'a': 0.2, 'e': 0.2627125872502282}",20,7,-23.157239095608592,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
134,False,"{'a': 0.2, 'e': 0.2600854613777259}",20,0,14.792715731125247,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.2574846067639487}",30,10,25.416511812696566,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.2, 'e': 0.2549097606963092}",25,0,17.819411225565403,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.2, 'e': 0.2523606630893461}",25,9,3.351492310666139,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.2, 'e': 0.24983705645845267}",25,7,-17.68399823223238,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
139,False,"{'a': 0.2, 'e': 0.24733868589386815}",20,16,7.616318930973463,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.2, 'e': 0.24486529903492946}",35,0,-33.0868911812662,"{0: 30, 1: 0, 2: 3, 3: 2, 4: 0}",0
